source,venue_name,venue_type,publisher,subject_area,level,indexing,impact_factor,jcr_quartile,cas_quartile,ccf_level,review_cycle,apc_fee,template_url,submission_url,reference_style,representative_papers,risk_note,last_checked_date
openalex+websearch,CVPR,conference,待核查(OpenAlex无host_organization),计算机视觉,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约3-4个月(双盲),无(顶级会议通常免APC),https://cvpr.thecvf.com,https://openreview.net,IEEE,"High-Resolution Image Synthesis with Latent Diffusion Models, A ConvNet for the 2020s","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4363607701 works_count=2082, h_index=201; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); ai_policy=允许用任何工具备稿不强制披露;作者对失实/抄袭/造假全责;含不存在引用的论文拒稿(cvpr.thecvf.com/2025/AuthorGuidelines原文实查;2026-06); oa_id=S4363607701; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,ICCV,conference,待核查(OpenAlex无host_organization),计算机视觉,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约3-4个月(双盲),无(顶级会议通常免APC),https://iccv.thecvf.com,https://openreview.net,IEEE,"Swin Transformer: Hierarchical Vision Transformer using Shifted Windows, Emerging Properties in Self-Supervised Vision Transformers","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4363607764 works_count=1617, h_index=154; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4363607764; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,ECCV,conference,待核查(OpenAlex无host_organization),计算机视觉,CCF-B,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,B,约3-4个月(双盲),无(顶级会议通常免APC),https://eccv.ecva.net,https://openreview.net,Springer LNCS,"Visual categorization with bags of keypoints, Scalable Exemplar-based Subspace Clustering on Class-Imbalanced Data","CCF等级=B(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306418318 works_count=31, h_index=7; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4306418318; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,NeurIPS,conference,待核查(OpenAlex无host_organization),机器学习,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约4个月(双盲+rebuttal),无(顶级会议通常免APC),https://neurips.cc,https://openreview.net,自定义(neurips.sty),"Probabilistic Matrix Factorization, Advances in Neural Information Processing Systems 20","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306420609 works_count=4138, h_index=167; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); ai_policy=允许用任何工具备稿;写作辅助无需披露;方法学组件须记录;作者对全文(文/图/引用)负责;未验证LLM生成引用可致撤稿;仅人类可署名(neurips.cc/2025/LLM原文实查;2026-06); oa_id=S4306420609; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,ICML,conference,待核查(OpenAlex无host_organization),机器学习,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约3-4个月(双盲),无(顶级会议通常免APC),https://icml.cc,https://openreview.net,自定义(icml.sty),"Rectified Linear Units Improve Restricted Boltzmann Machines, Wasserstein Generative Adversarial Networks","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306419644 works_count=1906, h_index=119; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); ai_policy=ML会议口径:LLM允许、作者全责、LLM不得署名;ICML2026进一步收紧AI滥用拒稿(icml.cc CallForPapers;2026-06); oa_id=S4306419644; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,ICLR,conference,待核查(OpenAlex无host_organization),机器学习/表示学习,未列入CCF目录(社区公认顶会),EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,未列入,公开评审约3个月,无(顶级会议通常免APC),https://iclr.cc,https://openreview.net,自定义,"beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework, Optimization as a Model for Few-Shot Learning","CCF等级=未列入CCF目录(社区公认顶会)(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306419637 works_count=896, h_index=88; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); ai_policy=任何LLM使用须在论文+提交表披露;作者对内容负全责;LLM造假按作者违规处理可desk-reject(iclr.cc/FAQ/LLM原文实查;2026-06); oa_id=S4306419637; domain_scope=通用; if_kind=na",2026-06
openalex+websearch,AAAI,conference,Association for the Advancement of Artificial Intelligence,人工智能,CCF-A,EI/CCF,3.81(OpenAlex 2yr均被引),N/A,N/A,A,约2-3个月(两阶段截止),无(顶级会议通常免APC),https://aaai.org,https://www.aaai.org/Library/AAAI/aaai-library.php,AAAI,"Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting, Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4210191458 works_count=25109, h_index=291; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4210191458; domain_scope=中国CS; if_kind=proxy",2026-06
openalex+websearch,IJCAI,conference,待核查(OpenAlex无host_organization),人工智能,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约2-3个月,无(顶级会议通常免APC),https://www.ijcai.org,https://www.ijcai.org,自定义(ijcai.sty),"Proceedings of the 19th International Joint Conference on Artificial Intelligence, Multi-Interval Discretization of Continuous-Valued Attributes for Classification Learning","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306419999 works_count=3003, h_index=121; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4306419999; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,ACL,conference,待核查(OpenAlex无host_organization),自然语言处理,CCF-A,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,A,约3个月+ARR,无(顶级会议通常免APC),https://github.com/acl-org/acl-style-files,https://aclrollingreview.org,ACL,"GLM: General Language Model Pretraining with Autoregressive Blank Infilling, TruthfulQA: Measuring How Models Mimic Human Falsehoods","CCF等级=A(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4363608652 works_count=603, h_index=67; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4363608652; domain_scope=中国CS; if_kind=na",2026-06
openalex+websearch,EMNLP,conference,待核查(OpenAlex无host_organization),自然语言处理,CCF-B,EI/CCF,"N/A(OpenAlex 2yr均被引=0,会议proceedings多按年份拆分未聚合)",N/A,N/A,B,约3个月+ARR,无(顶级会议通常免APC),https://github.com/acl-org/acl-style-files,https://aclrollingreview.org,ACL,"TextRank: Bringing Order into Text, Discriminating Gender on Twitter","CCF等级=B(来源:CCF官方推荐会议目录 ccf.org.cn/2022版); OpenAlex源=https://openalex.org/S4306418267 works_count=222, h_index=46; 被引数据来自OpenAlex真实查询; 录用率/APC待核查(顶会通常无APC,免费投稿); oa_id=S4306418267; domain_scope=中国CS; if_kind=na",2026-06
